time,actual_sale,baseline_forecast,advanced_forecast,no_forecast,promo,Environmental_Impact
1,3514.001904,3514.001904,NA,NA,No Pro,Uncertain
2,3346.001946,3346.001946,NA,NA,No Pro,Uncertain
3,3300.995922,3300.995922,NA,NA,No Pro,Uncertain
4,2864.003898,2864.003898,NA,NA,No Pro,Uncertain
5,3184.997886,3184.997886,NA,NA,No Pro,Uncertain
6,3400.007898,3400.007898,NA,NA,No Pro,Uncertain
7,3451.001862,3437.003892,NA,NA,No Pro,Uncertain
8,6526.997904,3236.999892,NA,NA,A,Positive
9,5386.99791,3302.49591,NA,NA,A,Positive
10,3145.001916,3145.001916,NA,NA,No Pro,Uncertain
11,3388.991844,3388.991844,NA,NA,No Pro,Uncertain
12,3252.005862,3252.005862,NA,NA,No Pro,Uncertain
13,3389.003856,3389.003856,NA,NA,No Pro,Uncertain
14,3406.001928,3406.001928,NA,NA,No Pro,Uncertain
15,3218.999868,3218.999868,NA,NA,No Pro,Uncertain
16,3219.99594,3210.827928,NA,NA,No Pro,Uncertain
17,3333.995868,3333.995868,NA,NA,No Pro,Uncertain
18,3475.997868,3463.331844,NA,NA,No Pro,Uncertain
19,3684.005892,3673.835886,NA,NA,No Pro,Uncertain
20,3560.993856,3560.993856,NA,NA,No Pro,Uncertain
21,3575.99991,3566.831898,NA,NA,No Pro,Uncertain
22,3409.001904,3397.49991,NA,NA,No Pro,Uncertain
23,3333.005886,3333.005886,NA,NA,No Pro,Uncertain
24,3530.99985,3530.99985,NA,NA,No Pro,Uncertain
25,NA,3556.835898,NA,NA,A,Positive
